id,aeq0_deg,lamda0_deg,ppar0,pper0,alpha0_deg
0,91.70389510783345,0.07630759599114623,-1.489089686383092e-23,5.028539561876027e-22,91.69619085905823
1,110.75225830589814,-1.1308432827142294,-1.7270132837606107e-22,4.589952985976914e-22,110.61928466468486
2,107.30476313165353,-1.573984847456118,-1.3614895880894124e-22,4.456134087120687e-22,106.98956570898333
3,101.09688695386444,1.3931402665009305,-7.815484337384509e-23,4.1357604290783146e-22,100.70118228938865
4,86.08119322304661,-1.3770851538737443,1.8937410281483774e-23,4.1472186064675697e-22,87.38552366377682
5,62.36668212614892,-10.176278399481825,1.4375055406803855e-22,4.379271634003438e-22,71.8274641867095
6,31.777503734632194,-5.874061512528463,4.31122635526972e-22,2.7599483230045283e-22,32.62644045727875
7,84.06953247290888,-1.038569163147068,4.453568252694234e-23,4.618792007901406e-22,84.4924074849182
8,92.57338986293824,0.869548818206799,-1.2782367293700426e-23,4.0788257554618164e-22,91.7949677914415
9,81.6773346047641,2.6602231583302274,4.746834519873494e-23,4.416784636096848e-22,83.8658170498839
10,75.7172667206788,2.371113127622661,1.2065448611214566e-22,5.06964432407567e-22,76.61299245081652
11,95.16308437425987,1.4511047015066287,-3.419603380515405e-23,4.715197724756927e-22,94.14800038243405
12,77.63633840183809,-2.757794775209139,8.992142536771435e-23,4.662752301663132e-22,79.08448285821687
13,109.45639108259326,-4.0670351682364805,-1.2988924034134074e-22,4.1148754548531055e-22,107.5187062447242
14,104.31366089996628,-5.747935323971899,-6.051895972166791e-23,4.490107780002433e-22,97.67622925777813
15,86.17797709318782,-0.021355326145850118,3.4338901580597464e-23,5.140453729730985e-22,86.17824517790116
16,116.78638509738259,3.7061724293450364,-2.1791968316319937e-22,4.529162865997757e-22,115.69443209946762
17,56.74238761273955,-14.926920979017357,1.090817997958591e-22,4.34893442248374e-22,75.91931980403032
18,88.17440397877661,0.8233573121926946,4.174410804727227e-24,4.495472219288334e-22,89.46797747749306
19,104.65573213950967,-3.50948311581559,-1.0391434290186471e-22,4.622345789652057e-22,102.66994912605033
20,110.68355388599258,4.852958138191552,-1.5317328232684744e-22,4.696569022125468e-22,108.0631506191579
21,72.66857690146288,-3.825455102055878,1.3072741092494598e-22,4.753284116446021e-22,74.62239303502413
22,93.58752672772884,0.9988204771481424,-2.1290362546356584e-23,4.2086777159336646e-22,92.89594275018725
23,105.05032522231846,6.666540557104873,-3.9221688490499494e-23,4.0610938758465302e-22,95.51646692645524
24,85.55147527657329,-0.9224078361590199,2.997085231887971e-23,4.290330267010281e-22,86.00399481555105
25,95.17903233562248,-1.2455140008695482,-3.9559647257313026e-23,5.075884127797862e-22,94.45642225377327
26,102.52994904420044,-2.4924372399093255,-1.0351991423150759e-22,5.143814060676088e-22,101.37885126429975
27,63.56184329622266,8.019912970397435,1.6380378742283425e-22,4.332876447169566e-22,69.29097146329592
28,101.53150060196415,-1.4978469421613845,-1.0024470025099738e-22,5.11367678779554e-22,101.09119044963876
29,117.72149025494511,-2.0758731247108333,-2.3058048670897367e-22,4.448833200248226e-22,117.39744963689543
30,82.92020043485435,-1.565856255554177,4.6646945322350715e-23,4.254823230766854e-22,83.74347293628068
31,125.28720469280553,8.510406972396991,-2.5208105629661835e-22,4.1990165149975623e-22,120.97780739773258
32,77.13345844362674,1.8103351034655375,1.1135901713837137e-22,5.1116557698605885e-22,77.70996251008631
33,98.85375684027251,1.2085977354314794,-6.716130387475599e-23,4.505987824853806e-22,98.4774696516644
34,84.40084496706835,2.354341725872251,2.1273151146173948e-23,4.786384295655397e-22,87.45515594972679
35,89.32906496445484,0.17938681758958397,4.006972078897833e-24,4.1545623074054533e-22,89.44741358180927
36,69.14202207320653,-5.313907143148066,1.4967801043460692e-22,4.689418956776426e-22,72.29783094360857
37,73.90472633443524,-1.2644398666938859,1.1593785422217694e-22,4.076465849165233e-22,74.12383639938267
38,84.89078956841364,1.9716421482328828,2.082756292966374e-23,4.053404774892533e-22,87.05856442028903
39,84.1854519795989,0.8186206667113685,4.3841987942084824e-23,4.5118137886536205e-22,84.4499058514012
40,50.6990436264923,-6.310071729218599,2.752460123412733e-22,3.60864251539648e-22,52.66574363791808
41,70.79037299531082,6.981518678424431,8.77561361450066e-23,3.947414689768541e-22,77.46623929025044
42,92.42905682258663,0.8114575505901032,-1.3995759280704037e-23,4.676275839501527e-22,91.71430997098781
43,97.52241065982753,3.0421004926473287,-2.8599582338845594e-23,4.2032029822002864e-22,93.89253990790117
44,77.32737406943673,2.092882272290627,1.0541220205444481e-22,5.009626589512203e-22,78.11721450677244
45,64.7709729233484,-5.608110848057599,1.9422669367484473e-22,4.701228218290633e-22,67.55250676950067
46,71.89689464232693,3.4753930665981283,1.334253367545398e-22,4.479279488788947e-22,73.41266258506303
47,81.91085454369193,-2.328343169216935,5.086217647340598e-23,4.5216194908979895e-22,83.58196941527572
48,107.07526499218366,-3.7845449974164938,-1.1938525524695882e-22,4.414985108351523e-22,105.13142479680107
49,101.69818151598868,-1.9094440198243248,-9.076886312603608e-23,4.676300851367069e-22,100.98474343523523
50,123.57861231721988,3.1354331813717167,-2.731680217702528e-22,4.2077951767569983e-22,122.99143766957721
51,74.23495664854336,7.217425688968198,3.594953377107417e-23,4.705129268638331e-22,85.63080559868348
52,87.23506191654442,0.6011059120600846,2.1394419133061883e-23,4.992923010306485e-22,87.54640615014604
53,94.03933505394785,-1.3972981481276325,-2.5249077123872604e-23,5.26319138461102e-22,92.74654139138445
54,73.46385735292651,-7.280808279748814,5.2209841541840416e-23,4.678822120874941e-22,83.63284320220707
55,95.79715279911913,1.0725508841587623,-4.1115102870016245e-23,4.403971409947854e-22,95.33362530615331
56,85.26377183054316,0.4463050249285021,4.1836418927354574e-23,5.153803738116901e-22,85.35914453696522
57,87.28951532922946,-0.20331774407123882,1.9889207321877097e-23,4.255416425353914e-22,87.32402468600941
58,73.30908041638983,6.02157171064709,9.244637496147633e-23,4.784549012555881e-22,79.06415289936055
59,70.49471435084726,5.087913243529435,1.393320921924402e-22,4.740587104763538e-22,73.62124384513159
60,99.42115356009927,0.7021472128298933,-6.796713600805548e-23,4.14880857127916e-22,99.30373760186549
61,81.96588895387852,1.3976307981236906,5.607195787707677e-23,4.27591501747784e-22,82.52918064102882
62,80.44193484888976,2.197360813589195,6.322752112847853e-23,4.304631743596987e-22,81.64400105041412
63,110.01320222413618,8.848868004357087,-5.936558120402195e-23,4.351849088160625e-22,97.7680334618276
64,95.69021134910193,-0.5190748203364715,-4.5076950220759564e-23,4.611383125170459e-22,95.58300950577795
65,79.32952598991916,-1.2164015882859025,7.799328356618046e-23,4.2673600177681765e-22,79.64253546684058
66,98.75879001529049,1.947990060782237,-5.452780739121395e-23,4.016584758951382e-22,97.73102013522207
67,86.79267216896017,0.9743321644485311,1.8189891747381444e-23,4.2454092849460625e-22,87.54660409528455
68,79.30265324931091,0.9949096840866297,9.537721269665353e-23,5.151341801885539e-22,79.51045929797426
69,64.17595327628128,7.451402988729127,1.6536085576126282e-22,4.350863198734867e-22,69.18998080470996
70,81.64282117949367,-1.2650378627582324,6.479214476380349e-23,4.658698034604569e-22,82.08221891457596
71,106.60987194993963,-6.183254318100048,-9.084599906172075e-23,4.949681300240295e-22,100.400262908308
72,61.805228421024786,2.1187676653399876,1.9440480178117686e-22,3.6772755741374366e-22,62.1361452704872
73,70.59327396852127,5.687310320099424,1.2624262629815695e-22,4.591922734185461e-22,74.62783778934727
