time,posx,posy,posz,vprelx,vprely,vprelz,vgrelx,vgrely,vgrelz,nx,ny,nz,Bx,By,Bz,w,Nspec,qs1,qs2,qs3,qs4,ms1,ms2,ms3,ms4,Ns1,Ns2,Ns3,Ns4,nus1,nus2,nus3,nus4,psi,theta_res,Y,L,alt,lat,lon,damp,S_stix,D_stix,P_stix,R_stix,L_stix,wce
0.0,-2771704.1263218243,12436889.49000807,-222.38985327677798,-0.0007348485005361443,0.003088981875529534,-5.558937837708009e-05,5.867933994967211e-05,-0.0002468651492134868,-0.06281439674226111,-72.86620486167041,306.2976735913622,-5.512138937484292,-4.4423629501224135e-11,1.993325799703598e-10,3.900367264750615e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000063107.5389519,1627743867.965462,165926990.1768266,206392249.396664,0.0,0.0,0.0,0.0,89.00000000003259,89.41256331778591,0.41256331775332455,2.000000000609234,12741999.999999994,-0.000999999999990564,1.0469481419489085e-14,1.0,2.7125682659944346,591.2363939651939,-25803.18887100476,593.9489622311884,-588.5238256991995,-685928.9081308821
0.001,-2771677.316295123,12436774.1540925,-19064.25947274356,-0.0007342895210706543,0.003086669734588785,-6.95948194860591e-05,0.00011930355270890259,-0.0005188822997417269,-0.06277109992321625,-72.90726714562061,306.4740112344769,-6.910037458825633,-3.808296168241382e-09,1.7088226318359368e-08,3.900436686139569e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000077039.299225,1627747569.777621,165928667.2386739,206400802.28293058,0.0,0.0,0.0,0.0,89.00058078129464,89.41264046010271,0.41205967880806327,1.999988130224273,12741895.853896994,-0.08572523487782746,-4.854598312793646e-06,0.999935580320002,2.711874718101285,591.2240309574236,-25803.368564624623,593.9359056755249,-588.5121562393223,-685948.0257503326
0.00225,-2771618.441180592,12436516.1393541,-42582.629804501135,-0.0007337025400449015,0.003084245739085861,-8.706773541038317e-05,0.0001948426309970604,-0.0008578354352426468,-0.06272480776673116,-72.94373747835691,306.6316377981351,-8.656159257975794,-8.506824643092383e-09,3.817121124267578e-08,3.900523069695027e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000099843.711023,1627750894.640849,165931598.91628212,206417350.1538922,0.0,0.0,0.0,0.0,89.00124050298994,89.41281385749099,0.41157335450104426,1.9999733820076784,12741688.104339568,-0.19148243859622482,-1.0883334076263083e-05,0.9998551023735989,2.7103045624837705,591.1939125106514,-25803.66268107546,593.9042170731352,-588.4836079481677,-685990.784743816
0.0035000000000000014,-2771531.28022944,12436131.20434511,-66083.47571618416,-0.0007330314182464947,0.003081459729823638,-0.0001044855611939404,0.0002701872292479475,-0.0011959116114120712,-0.06266983558869098,-72.98459065895035,306.80687268658335,-10.403150156581859,-1.3202839665016541e-08,5.9242458343505856e-08,3.900609328559289e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000128735.8521929,1627752812.731874,165935469.57590732,206440453.5444109,0.0,0.0,0.0,0.0,89.00204640165721,89.41307285767974,0.4110264560225261,1.9999586244752028,12741393.644132467,-0.2971669611110883,-1.6913335110897425e-05,0.9997746123702724,2.7079530657667874,591.147518805166,-25804.03529819374,593.8554718709328,-588.4395657393992,-686054.5200869371
0.004750000000000001,-2771415.93473858,12435619.79975619,-89561.74355652355,-0.0007323761311047017,0.00307873923523125,-0.00012186241953358058,0.0003453177120800677,-0.0015330336753794401,-0.06261460089884456,-73.01957283058094,306.95733280416863,-12.149961530041962,-1.7895579593062418e-08,8.029893493652344e-08,3.90069563837594e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000163686.516325,1627753322.16536,165940275.05381984,206470089.2971456,0.0,0.0,0.0,0.0,89.00289190843174,89.41341742072301,0.4105255122912723,1.9999438715558095,12741012.808773091,-0.402758575769127,-2.294103105763125e-05,0.9996941457198507,2.7048215469607158,591.0848686306148,-25804.486039309315,593.7896901775755,-588.3800470836541,-686139.2101824508
0.006000000000000001,-2771272.51694838,12434982.41651975,-113015.5894761081,-0.000732033746031493,0.00307732640892112,-0.0001392726433522686,0.0004203299552765576,-0.0018696563256115988,-0.0625836995598586,-73.01930679301174,306.95885589075186,-13.892244623891289,-2.258482438922478e-08,1.013404693603516e-07,3.90078189337201e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000204662.444968,1627752419.5786278,165946010.65488392,206506232.2114569,0.0,0.0,0.0,0.0,89.00346695151788,89.41384730717758,0.4103803556596972,1.999929141060506,12740545.968906254,-0.5082514701527998,-2.895417997022058e-05,0.9996137878179567,2.700913488856486,591.0060255220363,-25805.014475485565,593.7069390108928,-588.3051120331799,-686244.7835414986
0.007250000000000001,-2771100.996509307,12434218.92851737,-136458.3195730313,-0.0007316980281875165,0.003075936513572585,-0.0001566665543144017,0.0004952308270382401,-0.002205777872383331,-0.06255174285289597,-73.01419606498179,306.9395065089188,-15.633337897427461,-2.727384490134949e-08,1.223804779052734e-07,3.9008677696706185e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000251680.371549,1627750106.149252,165952678.22550908,206548895.9967883,0.0,0.0,0.0,0.0,89.00409195618839,89.41436243123287,0.41027047504448433,1.9999144229109669,12739993.01287623,-0.6137079736227804,-3.496280740769533e-05,0.999533509047166,2.6962313508968805,590.9110377788747,-25805.620822530618,593.6072691297717,-588.2148064279779,-686371.2068804941
0.008500000000000002,-2770901.463648616,12433329.72445692,-159886.8383172675,-0.000731294134293008,0.0030742613100204,-0.0001740216890146893,0.0005699699843137628,-0.0025411802269135354,-0.06251262590496681,-73.01144692607635,306.9302158295603,-17.37409711861767,-3.19622095454925e-08,1.434176635742188e-07,3.9009536015748086e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000304709.1575859,1627746374.372736,165960273.5041642,206598061.2806854,0.0,0.0,0.0,0.0,89.00484414958989,89.41496302603755,0.41011887644766887,1.9998997406526478,12739354.252056148,-0.7191166342381905,-4.0951292791028627e-05,0.9994533209105687,2.6907749201304796,590.7998847756668,-25806.30467882076,593.4906596957973,-588.1091098555363,-686518.5139437434
0.00975,-2770673.922993685,12432314.83692079,-183301.77608304698,-0.0007306584996213076,0.0030716122157812232,-0.00019128250755700768,0.0006444238600663234,-0.002875303858197578,-0.062452691840904025,-73.02749267396631,306.9999715345641,-19.11820902174847,-3.665035415163045e-08,1.6445408630371088e-07,3.901039327706027e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000363764.808925,1627741229.900534,165968797.7881709,206653737.1202201,0.0,0.0,0.0,0.0,89.00589536341371,89.41564910721443,0.4097537438007208,1.999885076317046,12738629.664645772,-0.8244827653061719,-4.693137798046798e-05,0.999373188483386,2.6845463847685096,590.6726061813933,-25807.066250809807,593.3571525661619,-587.9880597966248,-686686.688044255
0.0113125,-2770350.337098109,12430870.48803949,-212537.49733006282,-0.0007298570300762456,0.003068258648469492,-0.0002128027012461526,0.0007371831669850584,-0.003291579298413009,-0.06237478163282114,-73.04276834299073,307.0657628016853,-21.296908530512603,-4.2508094417055666e-08,1.9073832702636717e-07,3.901145786263617e-06,15707.96326794897,4,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2000446008.933809,1627732813.454136,165980751.56025812,206732443.919415,0.0,0.0,0.0,0.0,89.00729786086622,89.4166261885183,0.4093283276520765,1.9998667866254707,12737603.945343964,-0.9560720194148047,-5.438453362399809e-05,0.9992731761791123,2.6756856777225835,590.4910377140152,-25808.12684941363,593.1667233917378,-587.8153520362927,-686926.0344255649
